id,sex,age_adjusted,age_cat,,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,,,
145,Female,18,Less than 25,,Caucasian,0,7,0,0,0,,,Less than 25
146,Male,36,25 - 45,,Caucasian,0,1,0,0,2,,,25 - 45
148,Female,51,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
150,Female,42,25 - 45,,Hispanic,0,1,0,0,0,,,25 - 45
151,Male,18,Less than 25,,African-American,0,4,0,0,1,,,Less than 25
153,Male,28,25 - 45,,African-American,0,2,0,0,1,,,25 - 45
154,Female,36,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
157,Male,27,25 - 45,,Caucasian,0,4,0,0,0,,,25 - 45
158,Male,29,25 - 45,,Caucasian,0,5,0,0,0,,,25 - 45
159,Female,36,25 - 45,,Caucasian,0,4,0,0,1,,,25 - 45
163,Male,40,25 - 45,,Caucasian,0,1,0,0,1,,,25 - 45
169,Male,35,25 - 45,,Caucasian,0,4,0,0,5,,,25 - 45
171,Male,30,25 - 45,,Caucasian,0,5,0,0,0,,,25 - 45
174,Male,35,25 - 45,,African-American,0,2,0,0,3,,,25 - 45
175,Male,38,25 - 45,,Caucasian,0,2,0,0,1,,,25 - 45
176,Male,38,25 - 45,,African-American,0,9,1,0,10,,,25 - 45
177,Male,20,Less than 25,,African-American,0,4,0,0,0,,,Less than 25
178,Male,31,25 - 45,,African-American,0,8,12,2,28,,,25 - 45
180,Male,29,25 - 45,,African-American,0,7,0,0,1,,,25 - 45
182,Female,28,25 - 45,,Other,0,2,0,0,1,,,25 - 45
183,Male,27,25 - 45,,Caucasian,0,10,0,0,13,,,25 - 45
184,Male,25,25 - 45,,African-American,0,9,0,0,3,,,25 - 45
189,Male,50,Greater than 45,,Caucasian,0,9,0,0,3,,,Greater than 45
190,Male,31,25 - 45,,African-American,0,10,0,0,19,,,25 - 45
194,Male,39,25 - 45,,Caucasian,0,3,0,0,6,,,25 - 45
195,Female,22,25 - 45,,Caucasian,0,4,0,0,2,,,25 - 45
197,Male,28,25 - 45,,Caucasian,0,2,0,0,1,,,25 - 45
200,Female,35,25 - 45,,Other,0,2,0,0,2,,,25 - 45
202,Male,26,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
203,Female,22,Less than 25,,African-American,0,2,0,0,0,,,Less than 25
206,Female,27,25 - 45,,Caucasian,0,4,1,0,10,,,25 - 45
208,Male,42,25 - 45,,Caucasian,0,2,0,0,2,,,25 - 45
210,Male,28,25 - 45,,African-American,0,7,0,0,3,,,25 - 45
213,Male,28,25 - 45,,Caucasian,0,3,0,0,2,,,25 - 45
216,Male,56,Greater than 45,,Caucasian,0,2,0,0,1,,,Greater than 45
220,Female,18,Less than 25,,African-American,1,10,0,0,1,,,Less than 25
222,Female,40,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
227,Female,29,25 - 45,,African-American,0,3,0,0,0,,,25 - 45
228,Female,29,25 - 45,,African-American,0,9,0,0,7,,,25 - 45
229,Male,24,25 - 45,,African-American,0,9,0,0,2,,,25 - 45
231,Female,18,Less than 25,,African-American,0,6,0,0,0,,,Less than 25
232,Female,24,25 - 45,,Caucasian,0,6,0,0,0,,,25 - 45
234,Female,58,Greater than 45,,African-American,0,1,0,0,1,,,Greater than 45
235,Male,49,Greater than 45,,Other,0,7,0,0,13,,,Greater than 45
236,Male,61,Greater than 45,,Hispanic,0,1,0,0,1,,,Greater than 45
238,Female,30,25 - 45,,African-American,0,10,0,0,4,,,25 - 45
239,Male,27,25 - 45,,Hispanic,0,4,0,0,1,,,25 - 45
241,Female,23,25 - 45,,African-American,0,4,0,0,2,,,25 - 45
243,Male,37,25 - 45,,Caucasian,1,4,0,0,1,,,25 - 45
244,Female,27,25 - 45,,Caucasian,0,7,0,0,3,,,25 - 45
245,Male,27,25 - 45,,African-American,0,7,0,0,1,,,25 - 45
248,Male,19,Less than 25,,African-American,0,2,0,0,1,,,Less than 25
249,Male,42,Greater than 45,,Caucasian,0,1,0,0,6,,,Greater than 45
252,Male,28,25 - 45,,Caucasian,0,5,0,0,0,,,25 - 45
254,Male,22,25 - 45,,African-American,0,2,0,0,1,,,25 - 45
257,Male,20,Less than 25,,Hispanic,0,3,0,0,0,,,Less than 25
258,Female,29,25 - 45,,African-American,0,7,0,0,5,,,25 - 45
259,Male,49,Greater than 45,,Hispanic,0,1,0,0,2,,,Greater than 45
260,Male,58,Greater than 45,,African-American,0,4,0,0,8,,,Greater than 45
264,Male,28,25 - 45,,Hispanic,0,9,0,0,8,,,25 - 45
265,Male,25,25 - 45,,African-American,0,6,0,0,6,,,25 - 45
266,Male,51,Greater than 45,,Hispanic,0,1,0,0,2,,,Greater than 45
268,Male,76,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
269,Male,54,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
277,Male,44,Greater than 45,,African-American,0,8,0,0,23,,,Greater than 45
278,Male,21,Less than 25,,African-American,0,2,0,0,0,,,Less than 25
279,Male,55,Greater than 45,,Hispanic,0,1,0,0,1,,,Greater than 45
281,Male,63,Greater than 45,,African-American,0,1,0,0,3,,,Greater than 45
282,Male,43,Greater than 45,,Caucasian,0,4,0,0,8,,,Greater than 45
287,Male,35,25 - 45,,African-American,0,9,0,0,2,,,25 - 45
288,Male,36,25 - 45,,Caucasian,0,4,0,0,0,,,25 - 45
291,Male,42,Greater than 45,,Caucasian,0,3,0,0,2,,,Greater than 45
293,Male,21,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
294,Male,31,25 - 45,,African-American,0,2,0,0,2,,,25 - 45
297,Female,21,Less than 25,,African-American,0,4,0,0,1,,,Less than 25
298,Male,34,25 - 45,,Other,0,3,0,0,2,,,25 - 45
300,Female,35,25 - 45,,Caucasian,0,3,0,0,0,,,25 - 45
301,Male,40,25 - 45,,Caucasian,0,4,0,0,4,,,25 - 45
302,Female,33,25 - 45,,African-American,0,9,1,0,23,,,25 - 45
306,Male,23,25 - 45,,African-American,0,10,0,0,2,,,25 - 45
310,Female,25,25 - 45,,African-American,0,8,0,0,0,,,25 - 45
313,Female,25,25 - 45,,Caucasian,0,9,0,0,7,,,25 - 45
315,Male,35,25 - 45,,African-American,0,1,0,0,2,,,25 - 45
317,Female,25,25 - 45,,African-American,0,9,0,0,1,,,25 - 45
319,Male,53,Greater than 45,,Caucasian,0,1,0,0,7,,,Greater than 45
320,Male,35,25 - 45,,African-American,0,9,0,0,15,,,25 - 45
321,Male,26,25 - 45,,African-American,0,5,0,0,2,,,25 - 45
327,Male,48,Greater than 45,,Caucasian,0,2,0,0,0,,,Greater than 45
329,Male,33,25 - 45,,Other,0,1,0,0,1,,,25 - 45
330,Male,45,Greater than 45,,African-American,0,1,0,0,0,,,Greater than 45
331,Male,34,25 - 45,,Caucasian,0,3,0,0,4,,,25 - 45
332,Female,27,25 - 45,,African-American,0,7,0,0,2,,,25 - 45
334,Male,24,25 - 45,,African-American,0,10,0,0,11,,,25 - 45
335,Male,33,25 - 45,,African-American,0,1,0,0,0,,,25 - 45
336,Male,31,25 - 45,,Other,0,4,0,0,4,,,25 - 45
337,Male,51,Greater than 45,,African-American,0,9,0,0,11,,,Greater than 45
345,Male,49,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
347,Male,40,25 - 45,,Caucasian,0,4,0,0,13,,,25 - 45
349,Male,25,25 - 45,,Caucasian,0,1,0,0,1,,,25 - 45
350,Male,28,25 - 45,,African-American,0,9,0,2,11,,,25 - 45
351,Male,26,25 - 45,,Caucasian,0,5,0,0,1,,,25 - 45
354,Male,19,Less than 25,,African-American,0,4,0,0,0,,,Less than 25
355,Male,27,25 - 45,,African-American,0,2,0,0,4,,,25 - 45
356,Male,23,25 - 45,,Hispanic,0,4,0,0,4,,,25 - 45
357,Male,30,25 - 45,,Caucasian,0,8,0,0,0,,,25 - 45
358,Male,35,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
359,Male,30,25 - 45,,African-American,0,9,1,0,14,,,25 - 45
361,Male,50,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
362,Male,25,25 - 45,,African-American,0,8,0,0,25,,,25 - 45
363,Male,41,25 - 45,,Caucasian,0,5,0,0,8,,,25 - 45
366,Male,18,Less than 25,,Caucasian,0,8,0,1,1,,,Less than 25
369,Female,35,25 - 45,,Other,0,1,0,0,0,,,25 - 45
372,Female,38,25 - 45,,Other,0,2,0,0,3,,,25 - 45
379,Female,28,25 - 45,,Hispanic,0,2,0,0,0,,,25 - 45
382,Female,21,Less than 25,,Caucasian,0,5,0,4,5,,,Less than 25
383,Male,20,Less than 25,,Hispanic,0,8,0,0,0,,,Less than 25
384,Male,27,25 - 45,,African-American,0,3,0,0,1,,,25 - 45
385,Male,18,Less than 25,,African-American,0,8,0,0,1,,,Less than 25
386,Male,27,25 - 45,,African-American,0,6,0,0,2,,,25 - 45
389,Male,36,25 - 45,,Other,0,1,0,0,0,,,25 - 45
390,Male,25,25 - 45,,African-American,0,4,0,0,4,,,25 - 45
393,Female,35,25 - 45,,African-American,0,1,0,0,2,,,25 - 45
396,Male,18,Less than 25,,African-American,0,8,0,0,0,,,Less than 25
398,Male,19,Less than 25,,Hispanic,0,7,0,1,0,,,Less than 25
400,Female,21,Less than 25,,African-American,0,4,0,0,0,,,Less than 25
402,Female,46,Greater than 45,,African-American,0,2,0,0,0,,,Greater than 45
406,Male,28,25 - 45,,African-American,0,7,0,0,11,,,25 - 45
408,Female,20,Less than 25,,Caucasian,0,3,0,0,1,,,Less than 25
411,Female,38,25 - 45,,African-American,0,3,0,0,2,,,25 - 45
414,Female,23,25 - 45,,Other,0,2,0,0,0,,,25 - 45
416,Male,50,Greater than 45,,African-American,0,6,0,0,3,,,Greater than 45
417,Male,40,25 - 45,,African-American,0,1,0,0,0,,,25 - 45
423,Male,35,25 - 45,,Caucasian,0,1,0,0,3,,,25 - 45
425,Male,67,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
428,Male,43,Greater than 45,,Caucasian,0,4,0,0,3,,,Greater than 45
430,Male,24,25 - 45,,African-American,0,8,0,0,1,,,25 - 45
431,Male,35,25 - 45,,Hispanic,0,1,0,0,3,,,25 - 45
432,Male,32,25 - 45,,Caucasian,0,4,0,0,5,,,25 - 45
435,Male,31,25 - 45,,African-American,0,4,0,0,5,,,25 - 45
437,Male,21,Less than 25,,Caucasian,0,5,0,0,0,,,Less than 25
438,Male,31,25 - 45,,African-American,0,4,0,0,5,,,25 - 45
440,Male,37,25 - 45,,African-American,0,3,0,0,6,,,25 - 45
441,Male,21,Less than 25,,Other,0,3,0,0,0,,,Less than 25
445,Male,55,Greater than 45,,Caucasian,0,3,0,0,2,,,Greater than 45
446,Female,18,Less than 25,,African-American,0,6,0,0,0,,,Less than 25
451,Male,20,Less than 25,,African-American,0,8,0,1,4,,,Less than 25
452,Male,59,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
456,Male,34,25 - 45,,Caucasian,0,3,0,0,5,,,25 - 45
457,Male,41,25 - 45,,Other,0,2,0,0,2,,,25 - 45
459,Female,30,25 - 45,,African-American,0,1,0,0,5,,,25 - 45
461,Male,21,Less than 25,,Hispanic,0,3,0,0,0,,,Less than 25
462,Male,24,25 - 45,,African-American,0,1,0,0,0,,,25 - 45
463,Male,42,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
464,Male,25,25 - 45,,Caucasian,0,3,0,0,3,,,25 - 45
465,Female,39,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
467,Male,21,Less than 25,,Other,0,10,1,0,9,,,Less than 25
468,Male,25,25 - 45,,African-American,0,2,0,0,0,,,25 - 45
474,Female,49,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
478,Male,26,25 - 45,,African-American,0,9,0,0,7,,,25 - 45
480,Male,18,Less than 25,,African-American,0,9,0,0,0,,,Less than 25
484,Male,24,25 - 45,,Caucasian,0,5,0,0,8,,,25 - 45
485,Male,21,Less than 25,,African-American,0,9,1,0,2,,,Less than 25
489,Male,25,25 - 45,,Caucasian,0,3,0,0,2,,,25 - 45
494,Male,18,Less than 25,,Hispanic,0,5,1,0,3,,,Less than 25
495,Female,33,25 - 45,,African-American,0,7,0,0,0,,,25 - 45
496,Female,21,25 - 45,,Caucasian,0,4,0,0,2,,,25 - 45
497,Female,20,Less than 25,,Hispanic,0,3,0,0,1,,,Less than 25
499,Male,26,25 - 45,,Caucasian,0,5,0,0,1,,,25 - 45
500,Female,18,Less than 25,,African-American,0,8,0,0,0,,,Less than 25
501,Male,34,25 - 45,,Caucasian,0,3,0,0,0,,,25 - 45
502,Male,21,Less than 25,,African-American,0,3,0,0,0,,,Less than 25
504,Male,27,25 - 45,,Other,0,2,0,0,1,,,25 - 45
510,Male,49,Greater than 45,,Hispanic,0,1,0,0,1,,,Greater than 45
516,Male,29,25 - 45,,African-American,0,9,1,0,12,,,25 - 45
517,Male,21,Less than 25,,African-American,0,6,0,1,1,,,Less than 25
518,Male,44,Greater than 45,,African-American,0,3,0,0,3,,,Greater than 45
522,Male,35,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
524,Male,25,25 - 45,,Hispanic,0,8,0,0,0,,,25 - 45
525,Male,37,25 - 45,,Other,0,1,0,0,0,,,25 - 45
526,Female,18,Less than 25,,Caucasian,0,6,0,2,0,,,Less than 25
531,Male,23,25 - 45,,African-American,0,10,0,1,6,,,25 - 45
532,Male,19,Less than 25,,Caucasian,0,4,0,0,0,,,Less than 25
533,Female,20,Less than 25,,African-American,0,5,0,0,0,,,Less than 25
538,Male,26,25 - 45,,African-American,0,4,0,1,2,,,25 - 45
540,Female,58,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
542,Male,20,Less than 25,,African-American,2,10,0,0,3,,,Less than 25
546,Male,33,25 - 45,,Hispanic,0,3,0,0,1,,,25 - 45
547,Male,27,25 - 45,,Caucasian,0,4,0,0,0,,,25 - 45
548,Male,18,Less than 25,,African-American,0,3,1,0,1,,,Less than 25
552,Male,19,Less than 25,,Caucasian,0,6,0,0,2,,,Less than 25
557,Male,18,Less than 25,,African-American,0,9,0,0,4,,,Less than 25
561,Male,32,25 - 45,,Caucasian,0,1,0,0,1,,,25 - 45
563,Female,48,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
566,Male,23,25 - 45,,African-American,0,8,0,0,7,,,25 - 45
569,Female,22,Less than 25,,African-American,0,4,0,0,0,,,Less than 25
572,Male,39,25 - 45,,African-American,0,1,0,0,1,,,25 - 45
573,Male,25,25 - 45,,African-American,0,3,0,0,1,,,25 - 45
576,Male,23,25 - 45,,African-American,1,8,1,0,6,,,25 - 45
579,Male,18,Less than 25,,African-American,0,9,0,0,4,,,Less than 25
580,Male,19,Less than 25,,Caucasian,0,7,0,0,3,,,Less than 25
581,Male,34,25 - 45,,African-American,0,9,0,0,23,,,25 - 45
584,Male,33,25 - 45,,African-American,0,5,0,0,2,,,25 - 45
586,Male,50,Greater than 45,,African-American,0,1,0,0,2,,,Greater than 45
588,Male,26,25 - 45,,African-American,0,4,0,0,7,,,25 - 45
594,Female,48,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
597,Male,24,25 - 45,,African-American,0,8,0,0,12,,,25 - 45
598,Male,25,25 - 45,,African-American,0,9,0,0,5,,,25 - 45
599,Male,31,25 - 45,,Caucasian,0,3,0,0,3,,,25 - 45
602,Male,33,25 - 45,,African-American,0,7,0,0,14,,,25 - 45
603,Male,25,25 - 45,,African-American,1,5,0,0,2,,,25 - 45
604,Male,19,Less than 25,,African-American,0,9,0,1,0,,,Less than 25
608,Male,22,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
611,Male,53,Greater than 45,,African-American,0,3,0,0,5,,,Greater than 45
612,Male,24,25 - 45,,African-American,0,8,0,0,9,,,25 - 45
616,Male,29,25 - 45,,African-American,0,2,0,0,3,,,25 - 45
617,Male,58,Greater than 45,,Other,0,1,0,0,4,,,Greater than 45
621,Male,20,Less than 25,,Hispanic,0,3,0,0,1,,,Less than 25
622,Female,37,25 - 45,,Caucasian,0,6,0,0,0,,,25 - 45
623,Male,54,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
628,Male,23,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
629,Male,18,Less than 25,,Hispanic,0,3,0,0,0,,,Less than 25
630,Male,20,Less than 25,,Caucasian,0,3,0,0,0,,,Less than 25
633,Female,55,Greater than 45,,Caucasian,0,1,0,0,2,,,Greater than 45
635,Male,28,25 - 45,,African-American,0,3,0,0,7,,,25 - 45
637,Male,19,Less than 25,,Caucasian,0,5,0,0,1,,,Less than 25
640,Male,18,Less than 25,,African-American,0,7,0,0,0,,,Less than 25
641,Male,27,25 - 45,,Caucasian,0,6,0,0,0,,,25 - 45
644,Male,55,Greater than 45,,African-American,0,7,0,0,21,,,Greater than 45
647,Male,33,25 - 45,,Caucasian,0,4,0,0,0,,,25 - 45
648,Male,55,Greater than 45,,African-American,0,5,0,0,1,,,Greater than 45
649,Male,24,25 - 45,,Caucasian,0,1,0,0,3,,,25 - 45
654,Male,30,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
656,Male,25,25 - 45,,African-American,0,6,0,0,2,,,25 - 45
657,Female,22,Less than 25,,African-American,0,10,0,0,3,,,Less than 25
659,Male,18,Less than 25,,Caucasian,0,10,0,1,1,,,Less than 25
662,Female,21,Less than 25,,Caucasian,0,5,0,0,0,,,Less than 25
664,Male,31,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
668,Male,22,25 - 45,,Hispanic,0,5,0,0,2,,,25 - 45
669,Male,18,Less than 25,,African-American,1,10,0,1,1,,,Less than 25
674,Male,22,Less than 25,,African-American,0,2,0,0,1,,,Less than 25
678,Female,48,Greater than 45,,African-American,0,2,0,0,3,,,Greater than 45
679,Male,27,25 - 45,,African-American,0,1,0,0,1,,,25 - 45
680,Male,36,25 - 45,,African-American,0,3,0,0,5,,,25 - 45
681,Male,22,Less than 25,,Caucasian,0,1,0,0,0,,,Less than 25
685,Female,44,Greater than 45,,African-American,0,10,0,0,2,,,Greater than 45
686,Male,38,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
687,Male,19,Less than 25,,Other,0,8,0,1,0,,,Less than 25
688,Male,24,25 - 45,,African-American,0,8,0,0,13,,,25 - 45
692,Male,27,25 - 45,,African-American,0,5,0,0,3,,,25 - 45
694,Male,26,25 - 45,,Caucasian,0,4,0,0,1,,,25 - 45
697,Male,54,Greater than 45,,African-American,0,3,0,0,5,,,Greater than 45
700,Male,23,25 - 45,,African-American,1,9,1,0,10,,,25 - 45
701,Male,26,25 - 45,,African-American,0,10,0,0,5,,,25 - 45
704,Male,39,25 - 45,,African-American,0,1,0,0,0,,,25 - 45
707,Male,20,Less than 25,,African-American,1,6,2,2,6,,,Less than 25
708,Male,52,Greater than 45,,African-American,0,9,0,0,28,,,Greater than 45
709,Male,33,25 - 45,,African-American,0,7,0,1,8,,,25 - 45
712,Male,51,Greater than 45,,African-American,0,1,0,0,2,,,Greater than 45
713,Male,55,Greater than 45,,African-American,0,6,0,0,12,,,Greater than 45
715,Male,22,Less than 25,,Caucasian,0,5,0,1,1,,,Less than 25
716,Male,33,25 - 45,,African-American,0,2,0,0,1,,,25 - 45
718,Male,18,Less than 25,,African-American,0,10,0,0,1,,,Less than 25
720,Male,48,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
721,Male,21,Less than 25,,Hispanic,0,10,0,0,0,,,Less than 25
722,Male,34,25 - 45,,Caucasian,0,2,0,0,3,,,25 - 45
724,Male,44,Greater than 45,,Caucasian,0,1,0,0,3,,,Greater than 45
726,Male,32,25 - 45,,Caucasian,0,6,0,0,4,,,25 - 45
727,Male,54,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
728,Male,32,25 - 45,,Hispanic,0,1,0,0,4,,,25 - 45
729,Male,56,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
730,Male,32,25 - 45,,Asian,0,6,0,0,0,,,25 - 45
731,Male,55,Greater than 45,,Hispanic,0,1,0,0,1,,,Greater than 45
732,Male,26,25 - 45,,Hispanic,0,4,0,0,2,,,25 - 45
737,Female,22,Less than 25,,Caucasian,0,9,0,1,6,,,Less than 25
738,Male,18,Less than 25,,Caucasian,0,9,0,4,2,,,Less than 25
740,Male,48,Greater than 45,,Asian,0,7,0,0,5,,,Greater than 45
743,Male,23,25 - 45,,African-American,0,2,0,0,1,,,25 - 45
745,Female,27,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
752,Male,27,25 - 45,,Caucasian,0,4,0,0,0,,,25 - 45
753,Male,51,Greater than 45,,African-American,0,1,0,0,0,,,Greater than 45
754,Male,26,25 - 45,,African-American,0,4,0,0,4,,,25 - 45
757,Male,35,25 - 45,,African-American,0,5,0,0,0,,,25 - 45
762,Male,24,25 - 45,,Caucasian,0,3,0,0,1,,,25 - 45
763,Male,24,25 - 45,,Hispanic,0,5,0,0,7,,,25 - 45
764,Male,49,Greater than 45,,Hispanic,0,3,0,0,20,,,Greater than 45
765,Male,64,Greater than 45,,African-American,0,6,0,0,33,,,Greater than 45
769,Male,24,25 - 45,,Caucasian,0,5,0,0,2,,,25 - 45
770,Male,48,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
771,Male,32,25 - 45,,Caucasian,0,2,0,0,1,,,25 - 45
775,Male,50,Greater than 45,,Caucasian,0,3,0,0,4,,,Greater than 45
785,Female,24,25 - 45,,African-American,0,2,0,0,0,,,25 - 45
786,Female,46,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
787,Male,28,25 - 45,,Hispanic,0,4,0,0,7,,,25 - 45
788,Male,26,25 - 45,,Other,0,1,0,0,2,,,25 - 45
789,Male,30,25 - 45,,African-American,0,3,0,0,2,,,25 - 45
790,Female,31,25 - 45,,African-American,0,4,0,0,6,,,25 - 45
792,Male,22,25 - 45,,Other,0,1,0,0,0,,,25 - 45
793,Male,58,Greater than 45,,African-American,0,7,0,0,10,,,Greater than 45
794,Male,27,25 - 45,,African-American,0,5,0,0,5,,,25 - 45
796,Male,21,Less than 25,,Caucasian,0,2,0,0,0,,,Less than 25
798,Male,45,Greater than 45,,Caucasian,0,7,0,0,1,,,Greater than 45
803,Male,49,Greater than 45,,African-American,0,5,0,0,4,,,Greater than 45
804,Male,19,Less than 25,,African-American,0,4,0,0,0,,,Less than 25
805,Male,23,25 - 45,,Caucasian,0,4,0,0,4,,,25 - 45
806,Male,21,Less than 25,,Caucasian,0,2,0,0,0,,,Less than 25
807,Male,19,Less than 25,,Caucasian,0,9,0,0,0,,,Less than 25
808,Male,25,25 - 45,,Caucasian,0,4,1,3,6,,,25 - 45
810,Male,23,25 - 45,,African-American,0,3,1,0,1,,,25 - 45
812,Male,28,25 - 45,,African-American,0,2,0,0,0,,,25 - 45
813,Male,23,25 - 45,,African-American,0,4,1,0,6,,,25 - 45
